"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_query_api[B001_2020030_308547693927]","查询用例详情：B001, 期号：2020030, 流水号：308547693927,票号：b153951fbdd98a3ce005"
"passed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_query_api[B001_2020030_388849361275]","查询用例详情：B001, 期号：2020030, 流水号：388849361275,票号：36b214210633f92cd299"
"failed","Thu May 28 16:49:00 CST 2020","Thu May 28 16:49:00 CST 2020","35","data_handle2","testcase_set","","","","test_sell_api[test_B001_danshi_basic_00_0000]","用例信息：期号：2020030金额：62    测试点：单式-全奇-相同间隔-红球包含蓝球"
"failed","Thu May 28 16:49:00 CST 2020","Thu May 28 16:49:00 CST 2020","1","data_handle2","testcase_set","","","","test_sell_api[test_B001_danshi_basic_00_0001]","用例信息：期号：2020030金额：26    测试点：单式-全偶-相同间隔-红球包含蓝球"
"passed","Thu May 28 16:49:00 CST 2020","Thu May 28 16:49:00 CST 2020","1","data_handle2","testcase_set","","","","test_query_api[B001_2020030_14530268942]","查询用例详情：B001, 期号：2020030, 流水号：14530268942,票号：7fa120341176de0cc6a9"
"failed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_encash_api[B001_2020030_388849361275]","兑奖用例详情：玩法B001, 期号：2020030, 票号：36b214210633f92cd299 "
"failed","Thu May 28 16:49:00 CST 2020","Thu May 28 16:49:00 CST 2020","0","data_handle2","testcase_set","","","","test_sell_api[test_B001_danshi_basic_00_0003]","用例信息：期号：2020030金额：52    测试点：单式-全偶-相同间隔"
"failed","Thu May 28 16:49:00 CST 2020","Thu May 28 16:49:00 CST 2020","0","data_handle2","testcase_set","","","","test_sell_api[test_B001_danshi_basic_00_0002]","用例信息：期号：2020030金额：26    测试点：单式-全奇-相同间隔"
"failed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_encash_api[B001_2020030_162526029226]","兑奖用例详情：玩法B001, 期号：2020030, 票号：bba240113680ad58d39d "
"passed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","1","data_handle2","testcase_set","","","","test_query_api[B001_2020030_162526029226]","查询用例详情：B001, 期号：2020030, 流水号：162526029226,票号：bba240113680ad58d39d"
"failed","Thu May 28 16:49:00 CST 2020","Thu May 28 16:49:00 CST 2020","0","data_handle2","testcase_set","","","","test_sell_api[test_B001_danshi_basic_00_0004]","用例信息：期号：2020030金额：86    测试点：单式-包含三区号码"
"failed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_encash_api[B001_2020030_300275749961]","兑奖用例详情：玩法B001, 期号：2020030, 票号：2c69e00fd9dedea06104 "
"passed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_query_api[B001_2020030_300275749961]","查询用例详情：B001, 期号：2020030, 流水号：300275749961,票号：2c69e00fd9dedea06104"
"failed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_encash_api[B001_2020030_308547693927]","兑奖用例详情：玩法B001, 期号：2020030, 票号：b153951fbdd98a3ce005 "
"failed","Thu May 28 16:49:01 CST 2020","Thu May 28 16:49:01 CST 2020","0","data_handle2","testcase_set","","","","test_encash_api[B001_2020030_14530268942]","兑奖用例详情：玩法B001, 期号：2020030, 票号：7fa120341176de0cc6a9 "
